date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:38	9792/9792	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:07:02%20GMT	http://nemfa.org/peopleDetails.aspx?officerID=33	/home/jis/nemfa1/nemfa/nemfa.org/peopleDetails81dc.html	(from http://nemfa.org/)
21:06:39	8961/8961	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:07:02%20GMT	http://nemfa.org/peopleDetails.aspx?officerID=34	/home/jis/nemfa1/nemfa/nemfa.org/peopleDetails7a90.html	(from http://nemfa.org/)
21:06:39	6928/6928	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:07:02%20GMT	http://nemfa.org/peopleDetails.aspx?officerID=1624	/home/jis/nemfa1/nemfa/nemfa.org/peopleDetails2835.html	(from http://nemfa.org/)
21:06:40	8538/8538	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:07:03%20GMT	http://nemfa.org/peopleDetails.aspx?officerID=1621	/home/jis/nemfa1/nemfa/nemfa.org/peopleDetails48e7.html	(from http://nemfa.org/)
21:06:40	5847/5847	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:07:03%20GMT	http://nemfa.org/peopleDetails.aspx?officerID=1620	/home/jis/nemfa1/nemfa/nemfa.org/peopleDetails045d.html	(from http://nemfa.org/)
21:06:40	10148/10148	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:07:03%20GMT	http://nemfa.org/peopleDetails.aspx?officerID=38	/home/jis/nemfa1/nemfa/nemfa.org/peopleDetails80a1.html	(from http://nemfa.org/)
21:06:40	8694/8694	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:07:04%20GMT	http://nemfa.org/peopleDetails.aspx?officerID=35	/home/jis/nemfa1/nemfa/nemfa.org/peopleDetails6764.html	(from http://nemfa.org/)
21:06:41	10714/10714	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:07:04%20GMT	http://nemfa.org/peopleDetails.aspx?officerID=27	/home/jis/nemfa1/nemfa/nemfa.org/peopleDetails1de2.html	(from http://nemfa.org/)
21:06:41	12052/12052	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:07:04%20GMT	http://nemfa.org/peopleDetails.aspx?officerID=43	/home/jis/nemfa1/nemfa/nemfa.org/peopleDetailsd96f.html	(from http://nemfa.org/)
21:06:42	12059/12059	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:07:05%20GMT	http://nemfa.org/peopleDetails.aspx?officerID=44	/home/jis/nemfa1/nemfa/nemfa.org/peopleDetails5791.html	(from http://nemfa.org/)
21:06:42	5949/5949	---M--	200	added ('OK')	text/html	date:Thu,%2008%20Jan%202015%2002:07:05%20GMT	http://nemfa.org/peopleDetails.aspx?officerID=1622	/home/jis/nemfa1/nemfa/nemfa.org/peopleDetailse893.html	(from http://nemfa.org/)
21:06:44	79201/79201	---M--	200	added ('OK')	application/pdf	etag:%2246f090d6e716d01:5354%22	http://nemfa.org/docs/NEMFA.2014.2015.Calendar.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA.2014.2015.Calendar.pdf	(from )
21:06:51	153296/153296	---M--	200	added ('OK')	application/pdf	etag:%22d612e492d27ce1:5354%22	http://nemfa.org/docs/join.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/join.pdf	(from )
21:07:23	254252/254252	---M--	200	added ('OK')	application/pdf	etag:%22072cb964beac61:5354%22	http://nemfa.org/docs/September%202006%20Bulletin.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/September%202006%20Bulletin.pdf	(from http://nemfa.org/)
21:07:45	337097/337097	---M--	200	added ('OK')	application/pdf	etag:%22046b790954fc71:5354%22	http://nemfa.org/docs/February.2007.Bulletin.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/February.2007.Bulletin.pdf	(from http://nemfa.org/)
21:07:51	415601/415601	---M--	200	added ('OK')	application/pdf	etag:%220be6d41522cc71:5354%22	http://nemfa.org/docs/December.2006.Bulletin.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/December.2006.Bulletin.pdf	(from http://nemfa.org/)
21:08:14	176246/176246	---M--	200	added ('OK')	application/pdf	etag:%2200fc44e22c91:5354%22	http://nemfa.org/docs/October.2007.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/October.2007.pdf	(from http://nemfa.org/)
21:08:16	327775/327775	---M--	200	added ('OK')	application/pdf	etag:%220f4f72c3c96c71:5354%22	http://nemfa.org/docs/June.2007.Bulletin.without.addresses.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/June.2007.Bulletin.without.addresses.pdf	(from http://nemfa.org/)
21:08:36	278683/278683	---M--	200	added ('OK')	application/pdf	etag:%2204e6fa875fc81:5354%22	http://nemfa.org/docs/NEMFA.January.February.Bulletin.2008.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA.January.February.Bulletin.2008.pdf	(from http://nemfa.org/)
21:09:03	874909/874909	---M--	200	added ('OK')	application/pdf	etag:%228c26ceaa3cbdce1:5354%22	http://nemfa.org/docs/9.2013.NEMFA.Bulletin.Color.opt.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/9.2013.NEMFA.Bulletin.Color.opt.pdf	(from http://nemfa.org/)
21:09:03	301246/301246	---M--	200	added ('OK')	application/pdf	etag:%22bc66e731e414c91:5354%22	http://nemfa.org/docs/NEMFA.June.2008.Bulletin.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA.June.2008.Bulletin.pdf	(from http://nemfa.org/)
21:09:10	209083/209083	---M--	200	added ('OK')	application/pdf	etag:%22ac327a150dac91:5354%22	http://nemfa.org/docs/January2009.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/January2009.pdf	(from http://nemfa.org/)
21:09:12	343416/343416	---M--	200	added ('OK')	application/pdf	etag:%221e8a81b8e314c91:5354%22	http://nemfa.org/docs/NEMFA.September.2008.smaller.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA.September.2008.smaller.pdf	(from http://nemfa.org/)
21:11:29	861073/861073	---M--	200	added ('OK')	application/pdf	etag:%22743ba4cda13dcb1:5354%22	http://nemfa.org/docs/NEMFA.Web.News.Bulletin.February.2009.Archive.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA.Web.News.Bulletin.February.2009.Archive.pdf	(from http://nemfa.org/)
21:11:34	938442/938442	---M--	200	added ('OK')	application/pdf	etag:%224c80d4ee91adca1:5354%22	http://nemfa.org/docs/NEMFA.Revised.9.2009.2.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA.Revised.9.2009.2.pdf	(from http://nemfa.org/)
21:12:11	258610/258610	---M--	200	added ('OK')	application/pdf	etag:%224a5f5ac188c2cb1:5354%22	http://nemfa.org/docs/opt.NEMFA%20WEB%20NEWS-BULLETIN.b.October.2010.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/opt.NEMFA%20WEB%20NEWS-BULLETIN.b.October.2010.pdf	(from http://nemfa.org/)
21:12:45	434333/434333	---M--	200	added ('OK')	application/pdf	etag:%227096a38fe7bcc1:5354%22	http://nemfa.org/docs/NEMFA.Bulletin.2.2011.opt.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA.Bulletin.2.2011.opt.pdf	(from http://nemfa.org/)
21:12:55	275057/275057	---M--	200	added ('OK')	application/pdf	etag:%22729a449f77bcc1:5354%22	http://nemfa.org/docs/NEMFA.Bulletin.6.2011.b.opt.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA.Bulletin.6.2011.b.opt.pdf	(from http://nemfa.org/)
21:14:27	633851/633851	---M--	200	added ('OK')	application/pdf	etag:%22b8f59632ac7ccc1:5354%22	http://nemfa.org/docs/NEMFA.Bulletin.9.27.2011.opt.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA.Bulletin.9.27.2011.opt.pdf	(from http://nemfa.org/)
21:14:30	591189/591189	---M--	200	added ('OK')	application/pdf	etag:%2210d2053d8e1cc1:5354%22	http://nemfa.org/docs/NEMFA.Bulletin.February.2012.opt.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA.Bulletin.February.2012.opt.pdf	(from http://nemfa.org/)
21:14:40	2100540/2100540	---M--	200	added ('OK')	application/pdf	etag:%22ccfd864a1a33ca1:5354%22	http://nemfa.org/docs/June2009.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/June2009.pdf	(from http://nemfa.org/)
21:16:04	585646/585646	---M--	200	added ('OK')	application/pdf	etag:%2288d36a41875bcd1:5354%22	http://nemfa.org/docs/NEMFA.Bulletin.B&W.July.2012.opt.pdf	/home/jis/nemfa1/nemfa/nemfa.org/docs/NEMFA.Bulletin.B&W.July.2012.opt.pdf	(from http://nemfa.org/)
